id,name,platform_id,logo,description,created_at,website
1,"Electronic Arts",6,https://images.igdb.com/igdb/image/upload//i9s3h5sqtvzisfwik1za.png,"Electronic Arts Inc. is a leading global interactive entertainment software company. EA delivers games, content and online services for Internet-connected consoles, personal computers, mobile phones and tablets.","2011-02-15 16:59:13.000000",http://www.ea.com/
2,BioWare,6,https://images.igdb.com/igdb/image/upload//kxhml6iozkzgm2ewt0lo.png,None,"2011-02-15 17:00:06.000000",http://www.bioware.com
3,"Looking Glass Studios",4,https://images.igdb.com/igdb/image/upload//a8jgm46jckpac7fi2rbc.png,None,"2011-02-15 18:52:53.000000",None
4,"Eidos Interactive",6,https://images.igdb.com/igdb/image/upload//vrwhlkcmxvr7sqmu86nw.png,None,"2011-02-15 18:53:18.000000",http://www.eidos.com
5,"Interplay Entertainment",6,https://images.igdb.com/igdb/image/upload//u1virw03yt68yu8bzisl.png,"Founded in 1983, Interplay Entertainment is a developer, publisher and licensor of video game software headquartered in Southern California.

Interplay originally published successful titles in the Role-Playing Game (RPG) genre, including hits like FalloutÂ® 1 &amp; 2, Planescape: Torment and the Baldur's Gate series.

We have produced and licensed titles for many of the most popular interactive entertainment software platforms in the action/arcade, adventure/RPG and strategy/puzzle categories.

Our portfolio of well recognized Intellectual Properties includes Battlechess, Clayfighter, Dark Alliance, Descent, Earthworm Jim, Freespace, Giants, Messiah, MDK, Run Like Hell and Sacrifice amongst others.

We seek to publish or license out interactive entertainment software titles that are, or have the potential to become, franchise software titles that can be leveraged across several releases and/or platforms, and have published or licensed many such successful franchise titles to date.","2011-02-15 18:54:07.000000",http://www.interplay.com/
6,"Lionhead Studios",6,https://images.igdb.com/igdb/image/upload//uqfb68yonnvrhwwqdzzp.png,None,"2011-02-15 18:55:08.000000",http://www.lionhead.com/
7,"Visceral Games",6,https://images.igdb.com/igdb/image/upload//mejqwns61pd79dhaucjy.png,"Formerly EA Redwood Shores","2011-02-15 18:55:21.000000",http://www.visceralgames.com/
8,"2K Games",6,https://images.igdb.com/igdb/image/upload//dvjspyvdishtdwdkabu6.png,None,"2011-02-27 15:57:44.000000",https://www.2k.com/
9,"Lucasfilm Games",13,https://images.igdb.com/igdb/image/upload//txscsqmcle1wbscotqqz.png,None,"2011-03-01 04:53:32.000000",http://lucasfilm.com/games
10,"LucasArts Entertainment",11,https://images.igdb.com/igdb/image/upload//ktmvlzpc7quw9rjui0qq.png,None,"2011-03-01 05:00:16.000000",http://www.lucasarts.com/
11,"EA Redwood Shores",6,None,"EAâs corporate headquarters is based in Redwood Shores, California. It is home to two major EA development studios; Maxis, the developers of The Sims franchise and Visceral Games, the developers of the sci-fi horror franchise Dead Space. EAâs corporate headquarters is also the center of global publishing, marketing, HR and facilities initiatives.","2011-03-01 06:25:39.000000",http://www.ea.com/locations/redwood-shores
12,"Black Isle Studios",6,https://images.igdb.com/igdb/image/upload//veezgocmhiauoqbkfita.png,None,"2011-03-01 07:45:17.000000",None
13,"Demiurge Studios",5,https://images.igdb.com/igdb/image/upload//sx8dqxm2nkjmdr5aqjv1.png,"Demiurge Studios makes mobile, console, and PC games featuring deep systems and memorable characters. Try our hit mobile game, Marvel Puzzle Quest!

Creating games is our passion. Founded in 2002, we joined SEGA Networksâ family of studios in early 2015. We bring years of development expertise to our original projects, Shoot Many Robots, Marvel Puzzle Quest, and Puzzle &amp; Glory. 

Based in Cambridge, MA, our developers have worked with partners around the globe on titles such as Bioshock, Borderlands, and Mass Effect.","2011-03-01 08:00:09.000000",http://demiurgestudios.com/
14,"Bullfrog Productions",6,https://images.igdb.com/igdb/image/upload//txwarwunab3jqi4gywf5.png,"Bullfrog Productions was a British developer. It was founded in 1987 by Les Edgar and Peter Molyneux. They were best known for their strategy god games such as Populous.

In January 1995, to strengthen its global positioning, Bullfrog Productions merged with long time publishing partner Electronic Arts. In August 1997, Bullfrog co-founder, Peter Molyneux, left to establish a new development team, Lionhead Productions (who, incidentally, has also signed a distribution deal with Electronic Arts). In September 1999, Les Edgar changed his role to consultant for Bullfrog Productions Limited, enabling him to pay more equitable attention to his other business interests. Edgar handed the reins to Bruce McMillan from Electronic Arts' Canadian studio.

Following its purchase by EA, Bullfrog continued to work in its original offices in Guildford as an EA studio, and continued to display its own Bullfrog logo on the boxes of its games. In 2000, Electronic Arts merged its EA-UK offices, which had been in Langley near Slough, with the Bullfrog offices, into a new facility in Chertsey. Around August of that year the company decided to drop all further production of Bullfrog-branded products, and the former Bullfrog employees were put onto new projects such as the Harry Potter series. The last Bullfrog-branded game was Sim Theme Park (also known as Theme Park World and Theme Park 2), released in 1999.

A few compilations of older games that Bullfrog worked on have been published since, but to all intents and purposes the brand has been dead since the move to Chertsey in 2000.

Many Bullfrog developers left to found their own studios and these became Intrepid Computer Entertainment Ltd., Big Blue Box Studios Ltd. and Lionhead Studios. The latter eventually absorbed the first two and became the only studio to carry on the Bullfrog legacy.","2011-03-01 08:43:37.000000",None
15,"2K Marin",12,None,None,"2011-03-04 12:45:18.000000",None
16,"",0,None,None,"2017-03-23 13:05:30.489869",None
17,"Digital Extremes",3,https://images.igdb.com/igdb/image/upload//rhyaabgxjwer5kifkiis.png,"Founded in 1993 by James Schmalz, Digital Extremes Ltd. proudly ranks as one of the world's top development studios in the interactive entertainment industry.
Headquartered in London Ontario, Canadaâs 10th largest city, Digital Extremes got its foothold early on in the game industry during the shareware craze of the early 90s. Epic Pinball was a ten month project written entirely in assembly language by Schmalz that went on to become one of the most successful shareware games ever made, trailing only behind such industry greats as Duke3D, Doom and Wolfenstein 3D. Sequels such as Silverball and Extreme Pinball were released shortly thereafter and together they helped fund the creation of what would become one of the industryâs blockbuster franchises, Epic Gamesâ UnrealÂ®.

Beginning in 1994, Digital Extremes partnered with Epic Games (at that time, its shareware publisher) and co-created Unreal and its counterpart Unreal Tournament. Both games set new standards for first-person action games and broke new ground in online multiplayer gaming. Tremendously rich graphics, fine-tuned gameplay, frenetic action and high quality production value are descriptions that have become synonymous with any Unreal branded game. To date, the award-winning Unreal franchise, including Unreal, Unreal Tournament and Unreal Championship has sold more than 12 million units worldwide across the PC, PlayStationÂ®2, Xboxâ¢ and Dreamcastâ¢ platforms.

Digital Extremes completed development on its original IP for the current generation of consoles, Dark SectorÂ®, which shipped to stores in 2008, using its proprietary next-gen technology, the Evolution Engineâ¢. Following its success, the studio expanded to two teams to allow for simultaneous development on separate projects.

Digital Extremes completed work on the Multiplayer component of 2K Gamesâ blockbuster, BioshockÂ® 2 as well as the PC version of THQ hit, Homefrontâ¢.  The company also recently ventured into the mobile world with the release of Retro Pinball for Appleâs iOS platform, a throwback to the companyâs roots.  More recently, Digital Extremes earned critical acclaim for the development of first-person action game, The DarknessÂ® II, based on the comic book series of the same name.  In addition, the company assisted Microsoft with additional multiplayer content to HaloÂ®4.  The studio is currently developing and publishing the Free-to-Play action game, Warframe","2011-03-04 12:54:51.000000",http://www.digitalextremes.com/
18,"2K China",34,None,None,"2011-03-04 12:56:18.000000",None
19,"Arkane Studios",6,https://images.igdb.com/igdb/image/upload//lbrq3uwp62szmbtu1v2p.png,None,"2011-03-04 12:57:50.000000",http://www.arkane-studios.com/
20,"Darkside Game Studios",6,None,None,"2011-03-04 12:58:29.000000",None
21,"Irrational Games",6,https://images.igdb.com/igdb/image/upload//jkyv92av2ukweagfhrru.png,None,"2011-03-05 05:13:41.000000",http://irrationalgames.com/
22,"",0,None,None,"2017-03-23 13:05:30.588269",None
23,"Feral Interactive",6,https://images.igdb.com/igdb/image/upload//o2raxchz5yerxkprnqwt.png,"We are a publishing company set up in 1996 with a mission to bring great games to the Mac. Since then, we have not only established ourselves as a world-leading publisher of Mac games but of Linux games as well.

We enjoy close relationships with developers and publishers such as 2K, SEGA, Square Enix, TT Games, Codemasters, Creative Assembly, Warner Bros. Interactive Entertainment and Io-Interactive.

Weâre based in London, England, but we deliver our titles to gamers all over the world thanks to the marvel that is digital download.

One of our key aims is to have fun; we work with people we like, publish games that we enjoy and try not to be too corporate with our website. We hope you like our taste, but if thereâs a game youâd like to see on the Mac or on Linux weâd love to hear from you.","2011-03-05 05:16:34.000000",https://www.feralinteractive.com/
24,"Sierra Entertainment",6,https://images.igdb.com/igdb/image/upload//qabsh3mdevjsww3erojx.png,None,"2011-03-05 13:12:09.000000",None
25,"Ion Storm",6,https://images.igdb.com/igdb/image/upload//vqdxeyvap5jqc06zhi9v.png,None,"2011-03-07 05:33:24.000000",None
26,"Square Enix",48,https://images.igdb.com/igdb/image/upload//yqsot4fytthxblnyvcia.png,None,"2011-03-07 05:47:40.000000",http://www.square-enix.com/
27,"Eidos Montreal",6,None,None,"2011-03-07 05:48:40.000000",None
